29.3534 29.3534 30.121 30.121
29.9433 29.9433 30.7982 31.4753
30.4977 30.3472 29.1776 29.1344
30.2258 30.8564 31.2823 31.2537
31.3039 31.4359 31.5049 31.5136
30.7771 30.4862 30.0397 30.045
30.8581 31.1395 31.6563 31.6595
30.4431 30.1885 29.4823 29.475
30.3127 30.1231 27.4376 27.4393
31.1645 31.07 29.6637 29.6703
30.6997 30.6149 30.0081 30.0097
29.5009 29.1659 27.3109 27.296
31.0252 30.9232 28.9988 29.0105
29.6973 29.3939 28.2913 28.2793
30.4043 30.2427 29.304 29.312
29.7894 30.1129 30.5409 30.5433
30.0593 30.4114 30.3641 30.3634
30.2217 30.0352 29.2373 29.2316
30.3858 30.635 30.8965 30.8997
30.4114 30.2835 27.4181 27.4192
29.2452 28.8243 29.0827 29.0764
30.4252 30.4303 29.6889 29.6948
30.4222 30.2548 27.9683 27.9681
29.738 29.8107 29.7133 29.711
30.0568 30.4285 30.9055 30.9089
30.8576 30.8205 29.4824 29.4821
30.7444 30.7649 29.7341 29.7321
29.4648 29.346 27.7972 27.7854
29.9483 29.9775 29.6402 29.6497
30.2875 30.7196 31.0587 31.0602
